Title,Prices,Item_url,Image_url,Category
New ListingWomen's Brecciated Mookaite Gemstone Silver Jewelry Cuff-Bracelet 7''Adjustable,$7.47 ,https://www.ebay.com/itm/403007235450?hash=item5dd51a657a:g:mxgAAOSwrxVg9zS6,https://i.ebayimg.com/thumbs/images/g/mxgAAOSwrxVg9zS6/s-l225.jpg,Bracelet
"Swiss Blue Topaz Gemstone Handmade Ethnic Gift Jewelry Bracelet 7-8"" u372",$3.99 ,https://www.ebay.com/itm/184953468336?hash=item2b1015f5b0:g:bisAAOSwnsBg9fOy,https://i.ebayimg.com/thumbs/images/g/bisAAOSwnsBg9fOy/s-l225.jpg,Bracelet
"Italian Red Coral Onyx Gemstone Ethnic Handmade Gift Bracelet 7-8"" w453",$3.99 ,https://www.ebay.com/itm/184953469040?hash=item2b1015f870:g:dI4AAOSwAepg9fPl,https://i.ebayimg.com/thumbs/images/g/dI4AAOSwAepg9fPl/s-l225.jpg,Bracelet
"Amethyst Sage Yellow Sapphire Silver Jewelry Bracelet 7-8"" SMQ-144",$19.99 ,https://www.ebay.com/itm/133824010110?hash=item1f2888577e:g:N6UAAOSwLG9fCFmH,https://i.ebayimg.com/thumbs/images/g/N6UAAOSwLG9fCFmH/s-l225.jpg,Bracelet
Brown leather bracelet lizard gecko lizard mens ladies leather bracelet armband,$21.05 ,https://www.ebay.com/itm/174216271111?hash=item2890195507:g:GFcAAOSw04pd9hX1,https://i.ebayimg.com/thumbs/images/g/GFcAAOSw04pd9hX1/s-l225.jpg,Bracelet
"New ListingGreen Amethyst Faceted Handmade Gemstone Fashion Jewelry Bracelet 6-8"" SB-554",$4.48 ,https://www.ebay.com/itm/294287165905?hash=item4484e1c9d1:g:Da4AAOSwQn5gEvjp,https://i.ebayimg.com/thumbs/images/g/Da4AAOSwQn5gEvjp/s-l225.jpg,Bracelet
Natural 8mm Rainbow Fluorite Round Gemstone Beads Stretch Bracelet 7.5'' AAA,$3.99 ,https://www.ebay.com/itm/162289643565?hash=item25c937702d:g:0UoAAOSwRjJeyz2I,https://i.ebayimg.com/thumbs/images/g/0UoAAOSwRjJeyz2I/s-l225.jpg,Bracelet
"New ListingNEW  8"" ITALIAN STERLING SILVER/GOLD  TWO TONE FIGARO BRACELET 5mm ITALY 925",$35.99 ,https://www.ebay.com/itm/124818908706?hash=item1d0fc96622:g:JbgAAOSwq7JUFiht,https://i.ebayimg.com/thumbs/images/g/JbgAAOSwq7JUFiht/s-l225.jpg,Bracelet
Natural Peridot Bracelet for Women with 8mm Green Round Peridot Bracelet Jewelry,$10.92 ,https://www.ebay.com/itm/163494376290?hash=item2611063362:g:9joAAOSw-QxcPRw2,https://i.ebayimg.com/thumbs/images/g/9joAAOSw-QxcPRw2/s-l225.jpg,Bracelet
"New ListingA+ Red Carnelian 3-4mm Dainty Rondelle Faceted Gemstone Bracelet Jewelry 7"" Long",$10.58 ,https://www.ebay.com/itm/133825566031?hash=item1f28a0154f:g:jaoAAOSwNsJgw2to,https://i.ebayimg.com/thumbs/images/g/jaoAAOSwNsJgw2to/s-l225.jpg,Bracelet
Retro 925 Sterling Silver Knot Vintage Womens Cuff Bracelet Bangle for Women Men,$10.89 ,https://www.ebay.com/itm/393180999531?hash=item5b8b69ef6b:g:7nYAAOSwjqNgSKeY,https://i.ebayimg.com/thumbs/images/g/7nYAAOSwjqNgSKeY/s-l225.jpg,Bracelet
Turquoise Gemstone 925 Silver Plated Adjustable Cuff Bangle DB-016,$1.99 ,https://www.ebay.com/itm/154537525192?hash=item23fb277fc8:g:~W0AAOSwnsJg9mPu,https://i.ebayimg.com/thumbs/images/g/~W0AAOSwnsJg9mPu/s-l225.jpg,Bracelet
Bracelet silver plated chain maille palmier 175cm stainless steel hypoallergenique,$4.06 ,https://www.ebay.com/itm/202778732453?hash=item2f368de7a5:g:OxYAAOSwpcBdfRSR,https://i.ebayimg.com/thumbs/images/g/OxYAAOSwpcBdfRSR/s-l225.jpg,Bracelet
